#,"Country,
Other",Total
Cases,New
Cases,Total
Deaths,New
Deaths,Total
Recovered,Active
Cases,"Serious,
Critical",Tot Cases/
1M pop,Deaths/
1M pop,Total
Tests,Tests/
26,Canada,"134,093",+345,"9,154",+1,"117,945","6,994",54,"3,547",242,"5,891,121","155,830","37,804,826",North America,,,,
27,Bolivia,"122,308",+704,"7,097",+43,"75,098","40,113",71,"10,451",606,"259,924","22,210","11,702,818",South America,,,,
28,Qatar,"120,846",+267,205,,"117,746","2,895",51,"43,039",73,"672,099","239,368","2,807,805",Asia,,,,
29,Ecuador,"112,166","+1,409","10,701",+74,"91,242","10,223",374,"6,340",605,"333,977","18,876","17,692,994",South America,,,,
30,Kazakhstan,"106,498",+73,"1,634",,"100,042","4,822",221,"5,659",87,"2,571,562","136,648","18,818,912",Asia,,,,
31,Dominican Republic,"100,937",+806,"1,914",+25,"74,305","24,718",210,"9,287",176,"403,755","37,149","10,868,449",North America,,,,
32,Egypt,"100,228",,"5,560",,"79,886","14,782",41,976,54,"135,000","1,315","102,690,815",Africa,,,,
33,Panama,"98,407",,"2,107",,"70,751","25,549",132,"22,740",487,"374,599","86,564","4,327,410",North America,,,,
34,Romania,"98,304","+1,271","4,018",+51,"41,002","53,284",459,"5,117",209,"1,990,587","103,609","19,212,516",Europe,,,,
35,Kuwait,"92,082",+838,552,+4,"82,222","9,308",89,"21,503",129,"657,751","153,596","4,282,356",Asia,,,,
36,Belgium,"89,141",+372,"9,912",+3,"18,602","60,627",59,"7,685",855,"2,466,280","212,624","11,599,276",Europe,,,,
37,Oman,"87,939",+349,751,+9,"83,115","4,073",167,"17,141",146,"309,212","60,273","5,130,194",Asia,,,,
38,Sweden,"85,880",,"5,842",+4,N/A,N/A,13,"8,493",578,"1,250,488","123,673","10,111,264",Europe,,,,
39,China,"85,146",+2,"4,634",,"80,347",165,3,59,3,"160,000,000","111,163","1,439,323,776",Asia,,,,
40,Guatemala,"78,721",,"2,890",,"67,462","8,369",5,"4,379",161,"263,085","14,635","17,976,822",North America,,,,
41,Morocco,"77,878","+2,157","1,453",+26,"59,723","16,702",240,"2,105",39,"2,115,390","57,184","36,992,794",Africa,,,,
42,Netherlands,"77,688","+1,140","6,246",+2,N/A,N/A,43,"4,532",364,"1,832,451","106,897","17,142,164",Europe,,,,
43,UAE,"75,981",+883,393,+2,"67,359","8,229",,"7,665",40,"7,790,235","785,872","9,912,851",Asia,,,,
44,Belarus,"73,402",+194,726,+5,"71,999",677,,"7,768",77,"1,605,547","169,922","9,448,722",Europe,,,,
45,Japan,"72,234",,"1,377",,"63,282","7,575",202,571,11,"1,622,149","12,833","126,401,103",Asia,,,,
46,Poland,"71,947",+421,"2,147",+11,"57,135","12,665",81,"1,901",57,"2,912,411","76,969","37,838,578",Europe,,,,
47,Honduras,"65,218",+404,"2,034",+11,"14,273","48,911",34,"6,565",205,"154,645","15,567","9,933,918",North America,,,,
48,Ethiopia,"61,700",+916,966,+17,"23,054","37,680",309,534,8,"1,093,830","9,472","115,481,268",Africa,,,,
49,Portugal,"61,541",+646,"1,849",+3,"43,284","16,408",52,"6,039",181,"2,168,419","212,779","10,190,924",Europe,,,,
50,Singapore,"57,166",+75,27,,"56,492",647,,"9,757",5,"2,281,104","389,328","5,859,075",Asia,,,,
51,Bahrain,"56,778",,203,+1,"51,574","5,001",30,"33,164",119,"1,194,923","697,956","1,712,032",Asia,,,,
52,Venezuela,"55,563",,444,,"44,435","10,684",111,"1,955",16,"1,824,287","64,190","28,420,266",South America,,,,
53,Nigeria,"55,456",,"1,067",,"43,334","11,055",7,268,5,"426,803","2,061","207,068,357",Africa,,,,
54,Costa Rica,"49,897",,531,,"19,285","30,081",236,"9,778",104,"166,786","32,684","5,102,920",North America,,,,
55,Nepal,"49,219","+1,081",312,+6,"33,882","15,025",,"1,684",11,"799,341","27,343","29,233,798",Asia,,,,
56,Algeria,"47,216",+278,"1,581",+10,"33,379","12,256",40,"1,073",36,,,"43,997,567",Africa,,,,
57,Switzerland,"45,306",+469,"2,019",+1,"38,100","5,187",23,"5,228",233,"1,129,549","130,333","8,666,651",Europe,,,,
58,Ghana,"45,188",+176,283,,"44,042",863,6,"1,449",9,"448,820","14,389","31,192,083",Africa,,,,
59,Armenia,"45,152",+199,905,+2,"41,023","3,224",,"15,232",305,"224,559","75,754","2,964,309",Asia,,,,
60,Uzbekistan,"44,781",+500,364,+6,"42,162","2,255",226,"1,334",11,"1,377,915","41,059","33,559,779",Asia,,,,
61,Kyrgyzstan,"44,613",+87,"1,061",+1,"40,336","3,216",24,"6,817",162,"267,718","40,909","6,544,193",Asia,,,,
62,Moldova,"41,144",+588,"1,096",+9,"28,962","11,086",549,"10,204",272,"210,553","52,219","4,032,141",Europe,,,,
63,Afghanistan,"38,544",+24,"1,420",+2,"31,048","6,076",93,986,36,"105,422","2,697","39,088,687",Asia,,,,
64,Azerbaijan,"37,732",+175,555,+3,"35,119","2,058",,"3,715",55,"980,978","96,586","10,156,475",Asia,,,,
65,Kenya,"35,460",+104,607,+8,"21,557","13,296",44,657,11,"481,982","8,928","53,988,201",Africa,,,,
66,Serbia,"32,078",+84,728,+1,"30,780",570,35,"3,674",83,"1,001,425","114,704","8,730,506",Europe,,,,
67,Austria,"30,583",+502,747,,"25,764","4,072",36,"3,392",83,"1,288,059","142,860","9,016,202",Europe,,,,
68,Czechia,"30,576",+699,444,+3,"20,365","9,767",57,"2,854",41,"982,811","91,742","10,712,805",Europe,,,,
69,Ireland,"30,164",+84,"1,781",+3,"23,364","5,019",7,"6,096",360,"923,917","186,719","4,948,171",Europe,,,,
70,Palestine,"27,919",+556,192,+2,"18,466","9,261",,"5,450",37,"319,535","62,372","5,123,061",Asia,,,,
71,El Salvador,"26,602",+91,770,+5,"16,786","9,046",233,"4,097",119,"337,531","51,988","6,492,458",North America,,,,
72,Australia,"26,465",+91,781,+11,"22,863","2,821",26,"1,036",31,"6,788,377","265,632","25,555,531",Australia/Oceania,,,,
73,Paraguay,"24,214",,463,,"11,920","11,831",108,"3,387",65,"214,976","30,071","7,148,989",South America,,,,
74,Bosnia and Herzegovina,"22,258",+297,675,+6,"15,208","6,375",,"6,793",206,"201,240","61,413","3,276,820",Europe,,,,
75,Lebanon,"21,877",+553,212,+5,"7,024","14,641",121,"3,208",31,"610,111","89,466","6,819,477",Asia,,,,
76,S. Korea,"21,588",+156,344,+3,"17,023","4,221",154,421,7,"2,082,234","40,607","51,277,698",Asia,,,,
77,Libya,"20,462",+879,324,+10,"2,329","17,809",,"2,970",47,"133,989","19,450","6,888,779",Africa,,,,
78,Cameroon,"19,848",,415,,"18,448",985,30,744,16,"149,000","5,588","26,665,949",Africa,,,,
79,Ivory Coast,"18,778",,119,,"17,688",971,,709,4,"135,277","5,105","26,497,023",Africa,,,,
80,Denmark,"18,607",+251,628,,"15,990","1,989",5,"3,210",108,"2,790,136","481,381","5,796,113",Europe,,,,
81,Bulgaria,"17,313",,692,,"12,297","4,324",57,"2,495",100,"446,303","64,326","6,938,165",Europe,,,,
82,Madagascar,"15,520",+85,206,,"14,243","1,071",53,558,7,"62,150","2,234","27,820,103",Africa,,,,
83,North Macedonia,"15,293",+67,634,+3,"12,754","1,905",4,"7,341",304,"160,180","76,886","2,083,357",Europe,,,,
84,Senegal,"14,102",+58,293,+1,"10,176","3,633",36,838,17,"154,258","9,169","16,823,797",Africa,,,,
85,Sudan,"13,437",,833,,"6,730","5,874",,305,19,,,"44,036,091",Africa,,,,
86,Zambia,"13,112",+160,300,+3,"11,839",973,,710,16,"126,138","6,827","18,476,730",Africa,,,,
87,Croatia,"12,626",+341,206,+3,"9,833","2,587",24,"3,079",50,"201,138","49,054","4,100,306",Europe,,,,
88,Greece,"12,080",+248,293,+3,"3,804","7,983",46,"1,160",28,"1,066,305","102,400","10,413,105",Europe,,,,
89,Norway,"11,685",+61,264,,"9,348","2,073",1,"2,152",49,"831,064","153,071","5,429,288",Europe,,,,
90,Albania,"10,704",+151,322,+1,"6,284","4,098",19,"3,720",112,"66,011","22,943","2,877,188",Europe,,,,
91,DRC,"10,324",+32,260,,"9,523",541,,115,3,,,"90,048,792",Africa,,,,
92,Guinea,"9,848",,63,,"9,009",776,24,746,5,"26,775","2,029","13,197,140",Africa,,,,
93,Hungary,"9,715",+411,628,+2,"3,984","5,103",13,"1,006",65,"495,481","51,315","9,655,582",Europe,,,,
